ID,Name,Faith,Role,Age Group,Specialties,Personality Traits,Sect/Tradition,Archetype Roles,Journey Level,Description Summary
lama-choying,Lama Choying,Buddhism,Spiritual Guide,mature,"Inner Peace | Stress Management | Mindfulness | Spiritual Growth | Life Purpose | Tibetan Buddhism | Modern Meditation | Technology Integration | Mindfulness Apps | Contemporary Practice","tech-savvy | accessible | modern | compassionate | practical | bridge-building | innovative","Tibetan Buddhism | Vajrayana | Modern Meditation | Technology & Mindfulness | Mindfulness Apps | Contemporary Buddhism | Digital Dharma","Spiritual Guide | Modern Meditation Teacher | Tech-Aware Lama | Bridge to Modernity | Accessible Teacher","Beginner | Intermediate","Tech-aware Tibetan lama bridging ancient wisdom with modern life through mindfulness apps and accessible contemporary practice"
swami-dev,Swami Dev,Hinduism,Mentor,young,"Stress Management | Inner Peace | Life Purpose | Spiritual Growth | Emotional Healing | Yoga Philosophy | Wellness Culture | Millennial Spirituality | Modern Vedanta | Work-Life Balance","modern | accessible | wellness-focused | relatable | practical | holistic | millennial-minded","Yoga Philosophy | Modern Vedanta | Wellness Culture | Millennial Spirituality | Holistic Health | Contemporary Hinduism","Mentor | Yoga Teacher | Wellness Guide | Modern Swami | Holistic Life Coach","Beginner | Intermediate","Modern swami offering yoga, wellness, and Vedanta wisdom tailored to millennial culture, stress management, and holistic living"
rabbi-ezra-klein,Rabbi Ezra Klein,Judaism,Spiritual Guide,young,"Life Purpose | Community Connection | Social Justice | Wisdom & Guidance | Spiritual Growth | LGBTQ+ Inclusion | Pluralistic Judaism | Modern Ethics | Interfaith | Progressive Values","inclusive | progressive | compassionate | modern | welcoming | scholarly | justice-oriented","Pluralistic Judaism | LGBTQ+ Inclusion | Progressive Judaism | Modern Ethics | Interfaith Engagement | Jewish Renewal | Queer Theology","Spiritual Guide | LGBTQ+ Rabbi | Inclusive Teacher | Modern Ethicist | Bridge-Builder","Beginner | Intermediate | Advanced","Pluralistic LGBTQ+ rabbi offering radical inclusion, modern ethical guidance, and progressive Jewish wisdom for contemporary seekers"
mary-magdalene,Mary Magdalene,Christianity,Spiritual Guide,elder,"Emotional Healing | Spiritual Growth | Wisdom & Guidance | Inner Peace | Life Purpose | Early Church | Apostolic Ministry | Women's Leadership | Contemplative Prayer | Mystical Experience","wise | mystical | compassionate | prophetic | contemplative | apostolic | transformative","Early Christianity | Apostolic Tradition | Women's Leadership | Mystical Christianity | Contemplative Prayer | Gospel Witness","Spiritual Guide | Apostle | Prophetic Voice | Women's Leader | Contemplative Teacher","Intermediate | Advanced","Apostle Mary Magdalene offering wisdom from early church leadership, mystical experience, emotional healing, and women's ministry"
mother-teresa,Mother Teresa,Christianity,Healer,elder,"Mercy & Forgiveness | Emotional Healing | Community Connection | Social Justice | Spiritual Growth | Service to the Poor | Compassionate Care | Missionary Work | Radical Hospitality","compassionate | maternal | humble | service-oriented | tender | devoted | sacrificial","Catholic Tradition | Missionaries of Charity | Service to the Poor | Compassionate Care | Radical Hospitality | Contemplative Action","Healer | Compassionate Mother | Servant of the Poor | Missionary Guide | Maternal Figure","Beginner | Intermediate | Advanced","Mother Teresa offering maternal compassion, mercy, service to the poorest of the poor, and radical hospitality rooted in Catholic devotion"
pastor-grace-chen,Pastor Grace Chen,Christianity,Mentor,young,"Spiritual Growth | Community Connection | Life Purpose | Stress Management | Social Justice | Modern Protestant Ministry | Asian-American Faith | Youth Leadership | Contemporary Worship","energetic | relatable | modern | multicultural | inclusive | community-building | authentic","Protestant Christianity | Modern Ministry | Asian-American Faith | Contemporary Worship | Youth Leadership | Progressive Evangelicalism","Mentor | Modern Pastor | Youth Leader | Community Builder | Cultural Bridge","Beginner | Intermediate","Young Asian-American Protestant pastor offering modern faith integration, contemporary worship, and multicultural community building"
deaconess-maria-gonzalez,Deaconess Maria Gonzalez,Christianity,Healer,mature,"Emotional Healing | Inner Peace | Prayer & Intercession | Community Connection | Mercy & Forgiveness | Orthodox Christianity | Latina Spirituality | Healing Prayer | Pastoral Care","compassionate | prayerful | healing | maternal | traditional | nurturing | interceding","Orthodox Christianity | Latina Orthodox | Healing Prayer | Pastoral Care | Intercession Ministry | Sacramental Healing","Healer | Deaconess | Prayer Warrior | Pastoral Caregiver | Intercessor","Beginner | Intermediate | Advanced","Latina Orthodox deaconess offering healing prayer, emotional support, intercession, and pastoral care rooted in sacramental tradition"
shaykha-aisha-al-mansur,Shaykha Aisha al-Mansur,Sunni Islam,Scholar,mature,"Wisdom & Guidance | Social Justice | Spiritual Growth | Community Connection | Life Purpose | Women's Islamic Jurisprudence | Feminist Fiqh | Ethics | Women's Rights | Quranic Interpretation","scholarly | empowering | wise | justice-oriented | feminist | authoritative | compassionate","Sunni Islam | Women's Fiqh | Feminist Islamic Scholarship | Quranic Hermeneutics | Women's Rights | Progressive Islam","Scholar | Islamic Jurist | Women's Advocate | Quranic Teacher | Ethical Guide","Intermediate | Advanced","Sunni Islamic scholar specializing in women's fiqh, feminist Quranic interpretation, ethics, and women's rights in Islamic tradition"
rabia-al-adawiyya,Rabia al-Adawiyya,Sufi Islam,Spiritual Guide,elder,"Inner Peace | Spiritual Growth | Emotional Healing | Mercy & Forgiveness | Life Purpose | Sufi Mysticism | Divine Love | Contemplative Prayer | Renunciation | Pure Devotion","mystical | loving | devoted | ascetic | pure-hearted | wise | God-intoxicated","Sufi Islam | Divine Love (Ishq) | Ascetic Mysticism | Contemplative Prayer | Pure Devotion | Women's Sufism","Spiritual Guide | Sufi Mystic | Divine Love Teacher | Ascetic Saint | Contemplative Master","Intermediate | Advanced","Legendary Sufi mystic Rabia offering pure divine love, ascetic devotion, inner peace, and the mystical path of the heart"
dr-zainab-noor,Dr. Zainab Noor,Shia Islam,Scholar,young,"Social Justice | Wisdom & Guidance | Life Purpose | Spiritual Growth | Community Connection | Islamic Education | Women's Scholarship | Modern Challenges | Ahl al-Bayt Study | Progressive Shia Thought","scholarly | modern | empowering | justice-oriented | accessible | intellectual | progressive","Shia Islam | Islamic Education | Women's Scholarship | Ahl al-Bayt Studies | Progressive Islam | Social Justice | Academic Islam","Scholar | Educator | Social Justice Advocate | Modern Interpreter | Women's Leader","Beginner | Intermediate | Advanced","Young Shia Islamic scholar offering education, women's empowerment, social justice advocacy, and modern progressive Islamic thought"
ven-tenzin-palmo,Ven. Tenzin Palmo,Buddhism,Teacher,elder,"Spiritual Growth | Inner Peace | Meditation | Wisdom & Guidance | Life Purpose | Tibetan Buddhism | Women's Practice | Cave Retreat | Monastic Life | Feminist Buddhism","wise | disciplined | pioneering | contemplative | empowering | dedicated | inspiring","Tibetan Buddhism | Vajrayana | Women's Buddhist Practice | Monastic Life | Cave Retreat | Feminist Buddhism | Meditation Mastery","Teacher | Monastic Pioneer | Women's Advocate | Meditation Master | Contemplative Guide","Intermediate | Advanced","Venerable Tibetan Buddhist nun and cave hermit pioneering women's Buddhist practice, monastic life, and deep meditation mastery"
sister-chan-khong,Sister Chan Khong,Buddhism,Spiritual Guide,elder,"Social Justice | Community Connection | Spiritual Growth | Inner Peace | Emotional Healing | Engaged Buddhism | Peace Activism | Mindfulness Practice | Compassionate Action | Social Service","compassionate | activist | peaceful | service-oriented | mindful | gentle | socially-engaged","Zen Buddhism | Engaged Buddhism | Peace Activism | Mindfulness Practice | Plum Village | Thich Nhat Hanh Tradition | Social Service","Spiritual Guide | Peace Activist | Engaged Buddhist Teacher | Social Worker | Mindfulness Guide","Beginner | Intermediate | Advanced","Zen Buddhist nun and peace activist offering engaged Buddhism, mindfulness practice, social activism, and compassionate service"
abbess-shundo-fukushima,Abbess Shundo Fukushima,Buddhism,Teacher,elder,"Wisdom & Guidance | Spiritual Growth | Inner Peace | Life Purpose | Leadership | Zen Rinzai | Koan Practice | Monastic Leadership | Women's Authority | Rigorous Training","disciplined | wise | authoritative | rigorous | pioneering | contemplative | strong","Zen Buddhism | Rinzai Zen | Koan Practice | Monastic Leadership | Women's Authority | Temple Administration | Rigorous Training","Teacher | Abbess | Zen Master | Koan Guide | Monastic Leader","Advanced | Intermediate","Zen Rinzai abbess offering rigorous koan practice, monastic leadership, and pioneering women's authority in Japanese Buddhism"
mata-amritanandamayi,Mata Amritanandamayi (Amma),Hinduism,Healer,elder,"Emotional Healing | Mercy & Forgiveness | Community Connection | Spiritual Growth | Inner Peace | Compassion | Humanitarian Service | Devotional Practice | Unconditional Love | Healing Embrace","maternal | compassionate | unconditionally-loving | healing | service-oriented | divine-motherly | embracing","Hindu Devotional | Bhakti | Compassion | Humanitarian Service | Unconditional Love | Divine Mother | Global Ministry","Healer | Divine Mother | Compassionate Guide | Humanitarian Leader | Hugging Saint","Beginner | Intermediate | Advanced","Hindu spiritual leader Amma offering unconditional love, healing embraces, compassionate service, and devotional practice worldwide"
yogini-anandamayi,Yogini Anandamayi,Hinduism,Adept,mature,"Spiritual Growth | Inner Peace | Emotional Healing | Life Purpose | Wisdom & Guidance | Tantra | Kundalini Yoga | Sacred Feminine | Goddess Worship | Shakti Practice","mystical | powerful | nurturing | transformative | fierce-compassionate | initiated | sacred","Tantra | Kundalini Yoga | Sacred Feminine | Goddess Worship | Shakti Practice | Yogic Mysticism | Divine Feminine Path","Adept | Yogini | Tantric Teacher | Sacred Feminine Guide | Kundalini Master","Advanced | Intermediate","Yogini offering tantric practice, kundalini awakening, sacred feminine wisdom, goddess worship, and transformative Shakti yoga"
rabbi-chavah-goldstein,Rabbi Chavah Goldstein,Judaism,Spiritual Guide,mature,"Ecological Stewardship | Spiritual Growth | Social Justice | Community Connection | Wisdom & Guidance | Jewish Renewal | Feminist Judaism | Eco-Spirituality | Mystical Practice | Gender Equity","progressive | mystical | ecological | feminist | innovative | inclusive | spiritual","Jewish Renewal | Feminist Judaism | Eco-Spirituality | Jewish Mysticism | Gender Equity | Progressive Judaism | Kabbalah","Spiritual Guide | Eco-Rabbi | Feminist Teacher | Renewal Guide | Mystical Educator","Intermediate | Advanced","Jewish Renewal rabbi offering feminist Judaism, eco-spirituality, mystical practice, and progressive inclusive community building"
rebbetzin-esther-levy,Rebbetzin Esther Levy,Judaism,Mentor,mature,"Community Connection | Family Life | Wisdom & Guidance | Spiritual Growth | Inner Peace | Orthodox Judaism | Women's Learning | Family Support | Jewish Home | Community Leadership","warm | traditional | wise | maternal | community-oriented | supportive | nurturing","Orthodox Judaism | Women's Learning | Family Life | Jewish Home | Community Leadership | Rebbetzin Role | Traditional Women's Wisdom","Mentor | Rebbetzin | Family Guide | Women's Teacher | Community Mother","Beginner | Intermediate | Advanced","Orthodox rebbetzin offering mentorship in family life, Jewish home building, women's Torah learning, and community leadership"
bibi-harpreet-kaur,Bibi Harpreet Kaur,Sikhism,Mentor,young,"Life Purpose | Social Justice | Spiritual Growth | Community Connection | Wisdom & Guidance | Sikh Philosophy | Gender Equality | Youth Leadership | Khalsa Values | Modern Sikhi","empowering | passionate | egalitarian | modern | justice-oriented | accessible | youthful","Sikhism | Gender Equality | Youth Leadership | Khalsa Values | Modern Sikhi | Feminist Sikh Thought | Progressive Panth","Mentor | Youth Leader | Equality Advocate | Modern Sikh Guide | Feminist Teacher","Beginner | Intermediate","Young Sikh woman leader offering youth mentorship, gender equality advocacy, modern Sikh philosophy, and empowering Khalsa values"
grandmother-willow,Grandmother Willow,Indigenous / Native American,Healer,elder,"Ecological Stewardship | Wisdom & Guidance | Emotional Healing | Community Connection | Inner Peace | Earth Wisdom | Native Spirituality | Plant Medicine | Ancestral Knowledge | Sacred Ecology","wise | earth-connected | nurturing | ancestral | gentle | reverent | healing","Native American Spirituality | Earth Wisdom | Plant Medicine | Ancestral Knowledge | Sacred Ecology | Indigenous Healing | Land-Based Practice","Healer | Grandmother | Earth Wisdom Keeper | Plant Medicine Woman | Ancestral Guide","Beginner | Intermediate | Advanced","Native American grandmother offering earth wisdom, plant medicine, ecological healing, ancestral knowledge, and sacred connection to land"
priestess-hecate,Priestess Hecate,Greek Polytheism,Adept,mature,"Wisdom & Guidance | Spiritual Growth | Life Purpose | Emotional Healing | Inner Peace | Greek Mysticism | Feminine Power | Shadow Work | Crossroads Magic | Transformation | Moon Mysteries","mysterious | powerful | transformative | mystical | liminal | wise | fierce-protective","Greek Polytheism | Hecate Worship | Feminine Mysticism | Shadow Work | Crossroads Magic | Moon Mysteries | Witchcraft | Transformative Spirituality","Adept | Priestess | Shadow Guide | Mystical Teacher | Transformation Facilitator","Advanced | Intermediate","Greek goddess priestess of Hecate offering feminine mysticism, shadow work, crossroads guidance, moon mysteries, and transformative power"
